[INFO] [launch]: All log files can be found below /home/pi/.ros/log/2024-11-27-14-03-44-889704-drone-home-86703
[INFO] [launch]: Default logging verbosity is set to INFO
[WARNING] [imu_publisher-2]: there are now at least 2 nodes with the name /drone_home1/sim created within this launch context
[WARNING] [drive_hardware-3]: there are now at least 3 nodes with the name /drone_home1/sim created within this launch context
[WARNING] [visualization-4]: there are now at least 4 nodes with the name /drone_home1/sim created within this launch context
[WARNING] [static_transform_publisher-6]: there are now at least 2 nodes with the name /drone_home1/static_transform_publisher created within this launch context
[INFO] [controller-1]: process started with pid [86710]
[INFO] [imu_publisher-2]: process started with pid [86711]
[INFO] [drive_hardware-3]: process started with pid [86712]
[INFO] [visualization-4]: process started with pid [86713]
[INFO] [static_transform_publisher-5]: process started with pid [86714]
[INFO] [static_transform_publisher-6]: process started with pid [86715]
[static_transform_publisher-5] [WARN] [1732734225.060474606] []: Old-style arguments are deprecated; see --help for new-style arguments
[static_transform_publisher-6] [WARN] [1732734225.071681625] []: Old-style arguments are deprecated; see --help for new-style arguments
[static_transform_publisher-5] [INFO] [1732734225.108093707] [drone_home1.static_transform_publisher]: Spinning until stopped - publishing transform
[static_transform_publisher-5] translation: ('0.000000', '0.000000', '0.000000')
[static_transform_publisher-5] rotation: ('0.000000', '0.000000', '0.000000', '1.000000')
[static_transform_publisher-5] from 'map' to 'imu_frame'
[static_transform_publisher-6] [INFO] [1732734225.117564086] [drone_home1.static_transform_publisher]: Spinning until stopped - publishing transform
[static_transform_publisher-6] translation: ('0.000000', '0.000000', '0.000000')
[static_transform_publisher-6] rotation: ('0.000000', '0.000000', '0.000000', '1.000000')
[static_transform_publisher-6] from 'map' to 'gps_sensor'
[drive_hardware-3] /usr/lib/python3/dist-packages/gpiozero/output_devices.py:1509: PWMSoftwareFallback: To reduce servo jitter, use the pigpio pin factory.See https://gpiozero.readthedocs.io/en/stable/api_output.html#servo for more info
[drive_hardware-3]   warnings.warn(PWMSoftwareFallback(
[drive_hardware-3] [INFO] [1732734232.936507398] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734232.985787268] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734233.036166800] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734233.085583947] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734233.135524500] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734233.185672680] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734233.235570770] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734233.285765228] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734233.335793299] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734233.385746795] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734233.435670755] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734233.485644807] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734233.536008154] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734233.585777596] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734233.635732963] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734233.685729774] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734233.735695900] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734233.785786933] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734233.835731578] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734233.885654742] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734233.935621812] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734233.985753697] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734234.035648194] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734234.085807264] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734234.135796668] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734234.185781924] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734234.235526088] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734234.285744417] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734234.335781302] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734234.385626947] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734234.435717980] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734234.485831198] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734234.535825380] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734234.585774617] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734234.635774984] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734234.685627111] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734234.735759940] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734234.785972880] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734234.835577100] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734234.885654411] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734234.935653111] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734234.985684774] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734235.035724863] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734235.085622786] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734235.135925207] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734235.185804871] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734235.235791108] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734235.285765382] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734235.335757675] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734235.386055133] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734235.435603669] [drone_home1.sim]: Angle set: -45.00000125223908
[drive_hardware-3] [INFO] [1732734235.485818127] [drone_home1.sim]: Angle set: -45.00000125223908
