[drive_publisher-1] [INFO] [1732662834.775618890] [drone_home1.sim]: Sent: 0.7140709123768567, -0.5
[drive_publisher-1] [INFO] [1732662834.783887636] [drone_home1.sim]: Sent: 0.7270394821927013, -0.5
[drive_publisher-1] [INFO] [1732662834.801619941] [drone_home1.sim]: Sent: 0.7335237905073129, -0.5
[drive_publisher-1] [INFO] [1732662834.841584378] [drone_home1.sim]: Sent: 0.7464923603231575, -0.5
[drive_publisher-1] [INFO] [1732662834.913634503] [drone_home1.sim]: Sent: 0.7335237905073129, -0.5
[drive_publisher-1] [INFO] [1732662834.961567093] [drone_home1.sim]: Sent: 0.7140709123768567, -0.5
[drive_publisher-1] [INFO] [1732662834.977535642] [drone_home1.sim]: Sent: 0.7011023425610121, -0.5
[drive_publisher-1] [INFO] [1732662834.993361450] [drone_home1.sim]: Sent: 0.6621965394867213, -0.5
[drive_publisher-1] [INFO] [1732662835.017089041] [drone_home1.sim]: Sent: 0.6297750915404206, -0.5
[drive_publisher-1] [INFO] [1732662835.041442483] [drone_home1.sim]: Sent: 0.5908693352795082, -0.5
[drive_publisher-1] [INFO] [1732662835.043931461] [drone_home1.sim]: Sent: 0.5454792707039844, -0.5
[drive_publisher-1] [INFO] [1732662835.061299581] [drone_home1.sim]: Sent: 0.5000892061284605, -0.5
[drive_publisher-1] [INFO] [1732662835.074497782] [drone_home1.sim]: Sent: 0.4546991415529366, -0.5
[drive_publisher-1] [INFO] [1732662835.089359740] [drone_home1.sim]: Sent: 0.40930907697741276, -0.5
[drive_publisher-1] [INFO] [1732662835.105616769] [drone_home1.sim]: Sent: 0.3574347274939666, -0.5
[drive_publisher-1] [INFO] [1732662835.123275074] [drone_home1.sim]: Sent: 0.3055603780105204, -0.5
[drive_publisher-1] [INFO] [1732662835.137208644] [drone_home1.sim]: Sent: 0.24720172021246267, -0.5
[drive_publisher-1] [INFO] [1732662835.152233731] [drone_home1.sim]: Sent: 0.19532738243236114, -0.5
[drive_publisher-1] [INFO] [1732662835.173199920] [drone_home1.sim]: Sent: 0.14345302124557036, -0.5
[drive_publisher-1] [INFO] [1732662835.187299841] [drone_home1.sim]: Sent: 0.08509437515085726, -0.5
[drive_publisher-1] [INFO] [1732662835.205418220] [drone_home1.sim]: Sent: 0.03322002274157494, -0.5
[drive_publisher-1] [INFO] [1732662835.221296564] [drone_home1.sim]: Sent: 0.0, -0.5
[drive_publisher-1] [INFO] [1732662835.251972848] [drone_home1.sim]: Sent: -0.02676095854133921, -0.5
[drive_publisher-1] [INFO] [1732662835.272950074] [drone_home1.sim]: Sent: -0.06566672357976, -0.5
[drive_publisher-1] [INFO] [1732662835.289485751] [drone_home1.sim]: Sent: -0.11105678230361155, -0.5
[drive_publisher-1] [INFO] [1732662835.305296059] [drone_home1.sim]: Sent: -0.1629311317870577, -0.5
